S/N,Latitude,Longitude,Location,LGA,State,24hr,3day,7day
1,12.1524,8.4288,Fagge Quarter,Fagge,Kano,MODERATE,LOW,MODERATE
2,5.09491,7.24643,Okrika Layout,Okrika,Rivers,CRITICAL,HIGH,HIGH
3,10.51526,7.78802,Igabi Extension,Igabi,Kaduna,CRITICAL,LOW,LOW
4,5.82013,6.77409,Nnewi South GRA,Nnewi South,Anambra,HIGH,LOW,HIGH
5,5.64409,5.92291,New Ethiope West,Ethiope West,Delta,MODERATE,CRITICAL,LOW
6,8.12649,4.32692,Ogbomosho South Town,Ogbomosho South,Oyo,LOW,MODERATE,LOW
7,11.38526,14.32696,Kala Layout,Kala-Balge,Borno,MODERATE,MODERATE,HIGH
8,6.2888,7.33942,Awgu Extension,Awgu,Enugu,CRITICAL,CRITICAL,HIGH
9,10.36513,6.83975,Katcha GRA,Katcha,Niger,MODERATE,MODERATE,MODERATE
10,9.13057,9.44926,Upper Quan Pan,Quan Pan,Plateau,CRITICAL,HIGH,CRITICAL
11,6.24842,9.11181,Odukpani District,Odukpani,Cross River,CRITICAL,MODERATE,MODERATE
12,5.77002,7.18486,Ngor Okpala Layout,Ngor Okpala,Imo,LOW,CRITICAL,MODERATE
13,11.41094,10.76526,Shira Extension,Shira,Bauchi,LOW,LOW,HIGH
14,7.01737,8.42122,Apa GRA,Apa,Benue,MODERATE,MODERATE,MODERATE
15,5.13264,7.89605,New Uyo,Uyo,Akwa Ibom,HIGH,HIGH,HIGH
16,8.78905,11.44625,Wukari Town,Wukari,Taraba,MODERATE,CRITICAL,MODERATE
17,12.44843,6.05469,Yauri Layout,Yauri,Kebbi,HIGH,HIGH,LOW
18,13.93781,5.99042,Dange Extension,Dange-Shuni,Sokoto,HIGH,LOW,LOW
19,12.38245,6.75996,Bungudu GRA,Bungudu,Zamfara,HIGH,HIGH,HIGH
20,6.38493,3.20608,Old Kosofe,Kosofe,Lagos,MODERATE,CRITICAL,HIGH
21,11.80341,8.62135,Kumbotso Settlement,Kumbotso,Kano,MODERATE,CRITICAL,MODERATE
22,4.93875,7.31766,Oyigbo Layout,Oyigbo,Rivers,MODERATE,CRITICAL,CRITICAL
23,10.68847,7.89705,Sanga Extension,Sanga,Kaduna,MODERATE,HIGH,HIGH
24,6.15151,7.00125,Aguata GRA,Aguata,Anambra,CRITICAL,CRITICAL,CRITICAL
25,5.66587,5.65951,South Isoko North,Isoko North,Delta,HIGH,HIGH,CRITICAL
26,7.43424,4.18548,Akinyele Junction,Akinyele,Oyo,HIGH,LOW,LOW
27,12.89094,12.5165,Guzamala Layout,Guzamala,Borno,LOW,CRITICAL,LOW
28,6.59771,7.43807,Ezeagu Extension,Ezeagu,Enugu,HIGH,MODERATE,LOW
29,10.52645,6.5821,Edati GRA,Edati,Niger,MODERATE,LOW,HIGH
30,9.67897,9.44802,Outer Jos North,Jos North,Plateau,CRITICAL,MODERATE,HIGH
31,5.61462,9.42084,Calabar South Junction,Calabar South,Cross River,LOW,CRITICAL,HIGH
32,5.78922,7.47847,Owerri West Layout,Owerri West,Imo,HIGH,HIGH,CRITICAL
33,11.20441,10.08966,Toro Extension,Toro,Bauchi,MODERATE,MODERATE,HIGH
34,7.30724,9.04586,Vandeikya GRA,Vandeikya,Benue,LOW,MODERATE,LOW
35,5.03896,7.88219,New Etinan,Etinan,Akwa Ibom,MODERATE,HIGH,CRITICAL
36,7.58813,11.88199,Lau Camp,Lau,Taraba,CRITICAL,LOW,MODERATE
37,12.36689,3.94799,Gwandu Layout,Gwandu,Kebbi,CRITICAL,MODERATE,MODERATE
38,13.18922,5.1635,Isa Extension,Isa,Sokoto,MODERATE,MODERATE,CRITICAL
39,11.85209,7.20069,Maru GRA,Maru,Zamfara,HIGH,LOW,CRITICAL
40,6.34024,3.42947,Inner Ikorodu,Ikorodu,Lagos,MODERATE,LOW,HIGH
41,12.08014,8.89748,Bebeji District,Bebeji,Kano,HIGH,LOW,MODERATE
42,5.07041,7.27248,Ahoada East Layout,Ahoada East,Rivers,LOW,LOW,MODERATE
43,10.54153,7.5167,Ikara Extension,Ikara,Kaduna,MODERATE,LOW,CRITICAL
44,6.14396,6.78277,Anaocha GRA,Anaocha,Anambra,HIGH,CRITICAL,MODERATE
45,5.58457,6.07973,West Warri South,Warri South,Delta,LOW,MODERATE,CRITICAL
